"Date as of","District","SubCounty","CumCases","CumDeaths"
2022-10-26,"Kampala","Kawempe",2,0
2022-10-26,"Kampala","Makindye",1,0
2022-10-26,"Kampala","Rubaga",14,1
2022-10-26,"Kassanda","Gomba",1,0
2022-10-26,"Kassanda","Kalwana",17,0
2022-10-26,"Kassanda","Kassanda",5,0
2022-10-26,"Kassanda","Kiganda",2,0
2022-10-26,"Kassanda","Kikandwa",3,2
2022-10-26,"Kyegegwa","Kasule",3,1
2022-10-26,"Mubende","Bagezza",2,2
2022-10-26,"Mubende","Butologo",1,1
2022-10-26,"Mubende","Eastern Division",8,1
2022-10-26,"Mubende","Southern Division",7,3
2022-10-26,"Mubende","Western Division",3,1
2022-10-26,"Mubende","Kasambya",5,1
2022-10-26,"Mubende","Kiruuma",10,4
2022-10-26,"Mubende","Kirwanyi",1,0
2022-10-26,"Mubende","Kiyuni",3,3
2022-10-26,"Mubende","Madudu",21,10
2022-10-26,"Mubende","Kibalinga",1,1
2022-10-26,"Mubende","Kitenga",1,0
2022-10-26,"Wakiso","Busiro",1,0
2022-10-26,"Wakiso","Nanssana",1,0
2022-10-26,"Total",NA,115,32
2022-10-27,"Bunyangabu","Rwimi TC",1,0
2022-10-27,"Kagadi","Kagadi TC",1,1
2022-10-27,"Kampala","Kawempe",2,0
2022-10-27,"Kampala","Makindye",1,0
2022-10-27,"Kampala","Rubaga",14,1
2022-10-27,"Kassanda","Gomba",1,0
2022-10-27,"Kassanda","Kalwana",20,0
2022-10-27,"Kassanda","Kassanda",5,0
2022-10-27,"Kassanda","Kiganda",2,0
2022-10-27,"Kassanda","Kikandwa",5,2
2022-10-27,"Kyegegwa","Kasule",3,1
2022-10-27,"Mubende","Bagezza",2,2
2022-10-27,"Mubende","Butologo",1,1
2022-10-27,"Mubende","Eastern Division",8,1
2022-10-27,"Mubende","Southern Division",7,3
2022-10-27,"Mubende","Western Division",3,1
2022-10-27,"Mubende","Kasambya",5,1
2022-10-27,"Mubende","Kiruuma",10,4
2022-10-27,"Mubende","Kirwanyi",1,0
2022-10-27,"Mubende","Kiyuni",3,3
2022-10-27,"Mubende","Madudu",21,10
