"Date as of","District","ConfCases","CumCases","ConfDeaths","CumDeaths","ConfHCWcases","CumHCWCases","ConfHCWDeaths","CumHCWDeaths"
"04/12/22","Bunyangabu",0,1,0,0,0,1,0,0
"05/12/22","Mubende",0,65,0,29,0,14,0,6
"05/12/22","Kyegegwa",0,4,0,1,0,0,0,0
"05/12/22","Kassanda",0,48,0,20,0,1,0,0
"05/12/22","Kagadi",0,1,0,1,0,1,0,1
"05/12/22","Masaka",0,1,0,1,0,0,0,0
"05/12/22","Wakiso",0,3,0,0,0,0,0,0
"05/12/22","Jinja",0,1,0,1,0,0,0,0
"05/12/22","Kampala",0,18,0,2,0,2,0,0
"05/12/22","Bunyangabu",0,1,0,0,0,1,0,0
"06/12/22","Mubende",0,65,0,29,0,14,0,6
"06/12/22","Kyegegwa",0,4,0,1,0,0,0,0
"06/12/22","Kassanda",0,48,0,20,0,1,0,0
"06/12/22","Kagadi",0,1,0,1,0,1,0,1
"06/12/22","Masaka",0,1,0,1,0,0,0,0
"06/12/22","Wakiso",0,3,0,0,0,0,0,0
"06/12/22","Jinja",0,1,0,1,0,0,0,0
"06/12/22","Kampala",0,18,0,2,0,2,0,0
"06/12/22","Bunyangabu",0,1,0,0,0,1,0,0
"07/12/22","Mubende",0,65,0,29,0,14,0,6
"07/12/22","Kyegegwa",0,4,0,1,0,0,0,0
"07/12/22","Kassanda",0,48,0,20,0,1,0,0
"07/12/22","Kagadi",0,1,0,1,0,1,0,1
"07/12/22","Masaka",0,1,0,1,0,0,0,0
"07/12/22","Wakiso",0,3,0,0,0,0,0,0
"07/12/22","Jinja",0,1,0,1,0,0,0,0
"07/12/22","Kampala",0,18,0,2,0,2,0,0
"07/12/22","Bunyangabu",0,1,0,0,0,1,0,0
"08/12/22","Mubende",0,65,0,29,0,14,0,6
"08/12/22","Kyegegwa",0,4,0,1,0,0,0,0
"08/12/22","Kassanda",0,48,0,20,0,1,0,0
"08/12/22","Kagadi",0,1,0,1,0,1,0,1
"08/12/22","Masaka",0,1,0,1,0,0,0,0
"08/12/22","Wakiso",0,3,0,0,0,0,0,0
"08/12/22","Jinja",0,1,0,1,0,0,0,0
"08/12/22","Kampala",0,18,0,2,0,2,0,0
"08/12/22","Bunyangabu",0,1,0,0,0,1,0,0
"09/12/22","Mubende",0,65,0,29,0,14,0,6
"09/12/22","Kyegegwa",0,4,0,1,0,0,0,0
"09/12/22","Kassanda",0,48,0,20,0,1,0,0
"09/12/22","Kagadi",0,1,0,1,0,1,0,1
"09/12/22","Masaka",0,1,0,1,0,0,0,0
"09/12/22","Wakiso",0,3,0,0,0,0,0,0
"09/12/22","Jinja",0,1,0,1,0,0,0,0
"09/12/22","Kampala",0,18,0,2,0,2,0,0
"09/12/22","Bunyangabu",0,1,0,0,0,1,0,0
"10/12/22","Mubende",0,65,0,29,0,14,0,6
"10/12/22","Kyegegwa",0,4,0,1,0,0,0,0
"10/12/22","Kassanda",0,48,0,20,0,1,0,0
"10/12/22","Kagadi",0,1,0,1,0,1,0,1
"10/12/22","Masaka",0,1,0,1,0,0,0,0
"10/12/22","Wakiso",0,3,0,0,0,0,0,0
"10/12/22","Jinja",0,1,0,1,0,0,0,0
"10/12/22","Kampala",0,18,0,2,0,2,0,0
"10/12/22","Bunyangabu",0,1,0,0,0,1,0,0
"11/12/22","Mubende",0,65,0,29,0,14,0,6
"11/12/22","Kyegegwa",0,4,0,1,0,0,0,0
"11/12/22","Kassanda",0,48,0,20,0,1,0,0
"11/12/22","Kagadi",0,1,0,1,0,1,0,1
"11/12/22","Masaka",0,1,0,1,0,0,0,0
"11/12/22","Wakiso",0,3,0,0,0,0,0,0
